 A El	 A 	 Z 	Mech	Rate	Energy
     	   	   		pps	MeV/u
-----	---	---	---	--	--------
28Mg	28	12	FA	282000000	206.60
26Na	26	11	FA	264000000	207.81
36P	36	15	FA	556000000	204.36
23Ne	23	10	FA	239000000	208.04
21F	21	9	FA	205000000	208.89
30Al	30	13	FA	144000000	205.28
33Si	33	14	FA	344000000	204.88
25Na	25	11	FA	165000000	206.87
24Ne	24	10	FA	142000000	208.99
31Al	31	13	FA	317000000	206.18
19O	19	8	FA	134000000	210.51
34Si	34	14	FA	258000000	205.68
38S	38	16	FA	249000000	203.05
20F	20	9	FA	96000000	208.06
29Mg	29	12	FA	164000000	207.48
27Na	27	11	FA	51300000	208.67
37P	37	15	FA	109000000	205.10
22F	22	9	FA	49100000	209.98
16N	16	7	FA	228000000	211.87
7Li	7	3	FA	233000000	216.16
35P	35	15	FA	81600000	203.48
18O	18	8	FA	181000000	209.99
14C	14	6	FA	177000000	213.50
9Be	9	4	FA	200000000	215.10
22Ne	22	10	FA	35500000	206.99
32Al	32	13	FA	57200000	206.94
27Mg	27	12	FA	28800000	205.62
11B	11	5	FA	150000000	213.77
4He	4	2	FA	235000000	215.65
3H	3	1	FA	101000000	218.51
13C	13	6	FA	118000000	212.45
25Ne	25	10	FA	12000000	209.83
12B	12	5	FA	86500000	214.69
20O	20	8	FA	15200000	211.17
6Li	6	3	FA	131000000	214.76
2H	2	1	FA	163000000	223.40
17N	17	7	FA	63600000	212.30
15N	15	7	FA	65900000	211.05
10Be	10	4	FA	53200000	216.04
35Si	35	14	FA	17400000	206.35
32Si	32	14	FA	19800000	203.94
8Li	8	3	FA	37200000	216.89
6He	6	2	FA	24400000	217.78
15C	15	6	FA	25700000	214.10
30Mg	30	12	FA	10600000	208.18
17O	17	8	FA	25700000	209.27
24Na	24	11	FA	4940000	205.89
18N	18	7	FA	3390000	212.81
10B	10	5	FA	26900000	212.81
23F	23	9	FA	1890000	210.86
38P	38	15	FA	1250000	193.05
29Al	29	13	FA	1390000	204.38
13B	13	5	FA	6880000	215.24
12C	12	6	FA	8880000	211.40
33Al	33	13	FA	1520000	207.62
28Na	28	11	FA	1400000	209.40
19F	19	9	FA	3690000	207.34
11Be	11	4	FA	2380000	216.66
3He	3	2	FA	7500000	214.63
21O	21	8	FA	254000	211.64
9Li	9	3	FA	830000	217.61
26Ne	26	10	FA	132000	210.62
14N	14	7	FA	1390000	210.20
26Mg	26	12	FA	240000	204.59
21Ne	21	10	FA	218000	205.72
16C	16	6	FA	611000	214.73
39S	39	16	FA	338000	191.24
7Be	7	4	FA	871000	212.63
37S	37	16	FA	160000	202.09
16O	16	8	FA	105000	208.54
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
